candidate_type,class,against,feature,candidate,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
CLASS_SPECIFIC,04_Over_Saturated,ALL_OTHER_CLASSES,std_intensity,CORE,0.09079999999999999,0.014119490075778233,0.068,0.11,0.8184000000000001,0.028238980151556455,0.78,0.864,LOW,1.0,0.8494561019848444
PAIRWISE,04_Over_Saturated,05_No_Star,longest_line_ratio,PAIRWISE_CORE,0.06300000000000001,0.050950956811427986,0.0,0.14,0.874,0.10190191362285597,0.72,1.0,LOW,1.0,0.8491098086377143
PAIRWISE,02_Out_of_Focus,05_No_Star,mean_aspect_ratio,PAIRWISE_CORE,0.9309999999999998,0.04374928570845471,0.865,1.0,0.8619999999999999,0.08749857141690942,0.73,1.0,HIGH,1.0,0.8481501428583091
PAIRWISE,02_Out_of_Focus,05_No_Star,median_eccentricity,PAIRWISE_CORE,0.9199999999999999,0.03937003937005905,0.88,0.99,0.8400000000000001,0.0787400787401181,0.76,0.98,HIGH,1.0,0.8481259921259883
PAIRWISE,02_Out_of_Focus,05_No_Star,median_fwhm_ratio,PAIRWISE_CORE,0.9199999999999999,0.03937003937005905,0.88,0.99,0.8400000000000001,0.0787400787401181,0.76,0.98,HIGH,1.0,0.8481259921259883
PAIRWISE,02_Out_of_Focus,05_No_Star,mean_fwhm,PAIRWISE_CORE,0.924,0.039420806688854046,0.87,0.99,0.8480000000000001,0.07884161337770809,0.74,0.98,HIGH,1.0,0.8457158386622292
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,median_fwhm_ratio,CORE,0.07300000000000001,0.03693237062523878,0.024,0.138,0.8540000000000001,0.07386474125047754,0.724,0.952,LOW,1.0,0.8441135258749524
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,median_eccentricity,CORE,0.07339999999999999,0.036406592809544815,0.026,0.138,0.8532,0.07281318561908962,0.724,0.948,LOW,1.0,0.8438586814380911
PAIRWISE,03_Tracking_Error,05_No_Star,median_fwhm,PAIRWISE_CORE,0.9269999999999999,0.03487119154832538,0.86,0.96,0.8539999999999999,0.06974238309665076,0.72,0.9199999999999999,HIGH,1.0,0.8433257616903349
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,background_mad,CORE,0.9054,0.02209615351141459,0.881,0.94,0.8108000000000001,0.04419230702282918,0.762,0.8799999999999999,HIGH,1.0,0.8390407692977171
PAIRWISE,03_Tracking_Error,05_No_Star,std_intensity,PAIRWISE_CORE,0.084,0.03611094017053558,0.03,0.14,0.8320000000000001,0.07222188034107115,0.72,0.94,LOW,1.0,0.8331778119658929
