class_a,class_b,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
02_Out_of_Focus,03_Tracking_Error,valid_profile_count,0.441,0.1475262688472802,0.25,0.61,0.2859999999999999,0.1385063175454463,0.12,0.5,LOW,0.6,0.34084936824545536
02_Out_of_Focus,04_Over_Saturated,axis_aligned_line_ratio,0.5549999999999999,0.1401784576887619,0.415,0.81,0.22200000000000003,0.20350921355064006,0.050000000000000044,0.6200000000000001,HIGH,0.6,0.28454907864493606
02_Out_of_Focus,04_Over_Saturated,background_mad,0.8390000000000001,0.06208059278067503,0.77,0.93,0.6780000000000002,0.12416118556135006,0.54,0.8600000000000001,HIGH,1.0,0.7046838814438651
02_Out_of_Focus,04_Over_Saturated,background_median,0.8539999999999999,0.05161395160225577,0.77,0.92,0.708,0.10322790320451154,0.54,0.8400000000000001,HIGH,1.0,0.7202772096795489
02_Out_of_Focus,04_Over_Saturated,bright_area_ratio,0.252,0.10777754868245984,0.06,0.36,0.4960000000000001,0.21555509736491968,0.28,0.88,LOW,1.0,0.5356444902635081
02_Out_of_Focus,04_Over_Saturated,diagonal_line_ratio,0.637,0.13934130758680285,0.4,0.78,0.354,0.16560193235587564,0.19999999999999996,0.56,HIGH,0.8,0.4227398067644124
02_Out_of_Focus,04_Over_Saturated,elongated_angle_consistency,0.46799999999999997,0.10303397497913007,0.38,0.66,0.192,0.09846826900072937,0.020000000000000018,0.32000000000000006,LOW,0.8,0.3025531730999271
02_Out_of_Focus,04_Over_Saturated,elongated_angle_std,0.5319999999999999,0.10303397497913006,0.34,0.62,0.19199999999999998,0.09846826900072934,0.020000000000000018,0.31999999999999995,HIGH,0.8,0.302553173099927
02_Out_of_Focus,04_Over_Saturated,elongated_radial_alignment,0.394,0.11253443917308159,0.27,0.54,0.244,0.18990523952750746,0.0,0.45999999999999996,LOW,0.75,0.3033094760472492
02_Out_of_Focus,04_Over_Saturated,elongated_star_count,0.41500000000000004,0.10540398474441087,0.345,0.625,0.27,0.02097617696340305,0.25,0.31000000000000005,LOW,0.8,0.4144023823036597
02_Out_of_Focus,04_Over_Saturated,elongated_star_ratio,0.7699999999999999,0.0469041575982343,0.71,0.85,0.5399999999999999,0.09380831519646861,0.41999999999999993,0.7,HIGH,1.0,0.609619168480353
02_Out_of_Focus,04_Over_Saturated,line_angle_std,0.686,0.10253779790886872,0.535,0.805,0.372,0.20507559581773743,0.07000000000000006,0.6100000000000001,HIGH,1.0,0.41789244041822626
02_Out_of_Focus,04_Over_Saturated,long_line_count,0.748,0.07046985170979148,0.67,0.875,0.496,0.14093970341958295,0.3400000000000001,0.75,HIGH,1.0,0.5611060296580418
02_Out_of_Focus,04_Over_Saturated,longest_line_ratio,0.7539999999999999,0.06351377803280168,0.71,0.88,0.5079999999999999,0.12702755606560337,0.41999999999999993,0.76,HIGH,1.0,0.5918972443934396
02_Out_of_Focus,04_Over_Saturated,max_aspect_ratio,0.275,0.08631338250816036,0.13,0.395,0.45,0.1726267650163207,0.20999999999999996,0.74,LOW,1.0,0.4982373234983679
02_Out_of_Focus,04_Over_Saturated,max_streak_area_ratio,0.5399999999999999,0.05549774770204643,0.47,0.61,0.10400000000000001,0.08890444308357145,0.0,0.21999999999999997,HIGH,0.75,0.25040955569164286
02_Out_of_Focus,04_Over_Saturated,max_streak_aspect_ratio,0.34900000000000003,0.17252246230563717,0.1,0.64,0.41400000000000003,0.19713954448562573,0.27,0.8,LOW,0.8,0.46758604555143746
02_Out_of_Focus,04_Over_Saturated,max_streak_length_ratio,0.32,0.058991524815010514,0.22,0.4,0.36,0.11798304963002104,0.19999999999999996,0.56,LOW,1.0,0.4602016950369979
