class,feature,fold,auc,strength,direction,n_positive,n_negative
02_Out_of_Focus,star_count,2,0.556,0.1120000000000001,HIGH,10,50
02_Out_of_Focus,star_count,3,0.434,0.132,LOW,10,50
02_Out_of_Focus,star_count,4,0.529,0.05800000000000005,HIGH,10,50
02_Out_of_Focus,star_count,5,0.467,0.06599999999999995,LOW,10,50
02_Out_of_Focus,std_intensity,1,0.208,0.5840000000000001,LOW,10,50
02_Out_of_Focus,std_intensity,2,0.31,0.38,LOW,10,50
02_Out_of_Focus,std_intensity,3,0.298,0.404,LOW,10,50
02_Out_of_Focus,std_intensity,4,0.306,0.388,LOW,10,50
02_Out_of_Focus,std_intensity,5,0.308,0.384,LOW,10,50
02_Out_of_Focus,streak_count,1,0.39,0.21999999999999997,LOW,10,50
02_Out_of_Focus,streak_count,2,0.39,0.21999999999999997,LOW,10,50
02_Out_of_Focus,streak_count,3,0.38,0.24,LOW,10,50
02_Out_of_Focus,streak_count,4,0.39,0.21999999999999997,LOW,10,50
02_Out_of_Focus,streak_count,5,0.42,0.16000000000000003,LOW,10,50
02_Out_of_Focus,valid_profile_count,1,0.374,0.252,LOW,10,50
02_Out_of_Focus,valid_profile_count,2,0.556,0.1120000000000001,HIGH,10,50
02_Out_of_Focus,valid_profile_count,3,0.434,0.132,LOW,10,50
02_Out_of_Focus,valid_profile_count,4,0.529,0.05800000000000005,HIGH,10,50
02_Out_of_Focus,valid_profile_count,5,0.467,0.06599999999999995,LOW,10,50
03_Tracking_Error,axis_aligned_line_ratio,1,0.456,0.08799999999999997,LOW,10,50
03_Tracking_Error,axis_aligned_line_ratio,2,0.526,0.052000000000000046,HIGH,10,50
03_Tracking_Error,axis_aligned_line_ratio,3,0.46,0.07999999999999996,LOW,10,50
03_Tracking_Error,axis_aligned_line_ratio,4,0.37,0.26,LOW,10,50
03_Tracking_Error,axis_aligned_line_ratio,5,0.462,0.07599999999999996,LOW,10,50
03_Tracking_Error,background_mad,1,0.559,0.1180000000000001,HIGH,10,50
03_Tracking_Error,background_mad,2,0.572,0.1439999999999999,HIGH,10,50
03_Tracking_Error,background_mad,3,0.466,0.06799999999999995,LOW,10,50
03_Tracking_Error,background_mad,4,0.625,0.25,HIGH,10,50
03_Tracking_Error,background_mad,5,0.7,0.3999999999999999,HIGH,10,50
03_Tracking_Error,background_median,1,0.48,0.040000000000000036,LOW,10,50
03_Tracking_Error,background_median,2,0.548,0.09600000000000009,HIGH,10,50
03_Tracking_Error,background_median,3,0.485,0.030000000000000027,LOW,10,50
03_Tracking_Error,background_median,4,0.563,0.1259999999999999,HIGH,10,50
03_Tracking_Error,background_median,5,0.647,0.29400000000000004,HIGH,10,50
03_Tracking_Error,bright_area_ratio,1,0.534,0.06800000000000006,HIGH,10,50
03_Tracking_Error,bright_area_ratio,2,0.446,0.10799999999999998,LOW,10,50
03_Tracking_Error,bright_area_ratio,3,0.644,0.28800000000000003,HIGH,10,50
03_Tracking_Error,bright_area_ratio,4,0.376,0.248,LOW,10,50
03_Tracking_Error,bright_area_ratio,5,0.51,0.020000000000000018,HIGH,10,50
03_Tracking_Error,diagonal_line_ratio,1,0.621,0.242,HIGH,10,50
03_Tracking_Error,diagonal_line_ratio,2,0.535,0.07000000000000006,HIGH,10,50
