class_a,class_b,feature,fold,auc,strength,direction,n_a,n_b
01_Good,03_Tracking_Error,elongated_star_ratio,2,0.44,0.12,LOW,10,10
01_Good,03_Tracking_Error,elongated_star_ratio,3,0.51,0.020000000000000018,HIGH,10,10
01_Good,03_Tracking_Error,elongated_star_ratio,4,0.4,0.19999999999999996,LOW,10,10
01_Good,03_Tracking_Error,elongated_star_ratio,5,0.48,0.040000000000000036,LOW,10,10
01_Good,03_Tracking_Error,line_angle_std,1,0.49,0.020000000000000018,LOW,10,10
01_Good,03_Tracking_Error,line_angle_std,2,0.38,0.24,LOW,10,10
01_Good,03_Tracking_Error,line_angle_std,3,0.43,0.14,LOW,10,10
01_Good,03_Tracking_Error,line_angle_std,4,0.59,0.17999999999999994,HIGH,10,10
01_Good,03_Tracking_Error,line_angle_std,5,0.72,0.43999999999999995,HIGH,10,10
01_Good,03_Tracking_Error,long_line_count,1,0.585,0.16999999999999993,HIGH,10,10
01_Good,03_Tracking_Error,long_line_count,2,0.545,0.09000000000000008,HIGH,10,10
01_Good,03_Tracking_Error,long_line_count,3,0.77,0.54,HIGH,10,10
01_Good,03_Tracking_Error,long_line_count,4,0.715,0.42999999999999994,HIGH,10,10
01_Good,03_Tracking_Error,long_line_count,5,0.675,0.3500000000000001,HIGH,10,10
01_Good,03_Tracking_Error,longest_line_ratio,1,0.575,0.1499999999999999,HIGH,10,10
01_Good,03_Tracking_Error,longest_line_ratio,2,0.455,0.08999999999999997,LOW,10,10
01_Good,03_Tracking_Error,longest_line_ratio,3,0.56,0.1200000000000001,HIGH,10,10
01_Good,03_Tracking_Error,longest_line_ratio,4,0.545,0.09000000000000008,HIGH,10,10
01_Good,03_Tracking_Error,longest_line_ratio,5,0.575,0.1499999999999999,HIGH,10,10
01_Good,03_Tracking_Error,max_aspect_ratio,1,0.42,0.16000000000000003,LOW,10,10
01_Good,03_Tracking_Error,max_aspect_ratio,2,0.65,0.30000000000000004,HIGH,10,10
01_Good,03_Tracking_Error,max_aspect_ratio,3,0.5,0.0,NONE,10,10
01_Good,03_Tracking_Error,max_aspect_ratio,4,0.52,0.040000000000000036,HIGH,10,10
01_Good,03_Tracking_Error,max_aspect_ratio,5,0.525,0.050000000000000044,HIGH,10,10
01_Good,03_Tracking_Error,max_streak_area_ratio,1,0.46,0.07999999999999996,LOW,10,10
01_Good,03_Tracking_Error,max_streak_area_ratio,2,0.67,0.3400000000000001,HIGH,10,10
01_Good,03_Tracking_Error,max_streak_area_ratio,3,0.52,0.040000000000000036,HIGH,10,10
01_Good,03_Tracking_Error,max_streak_area_ratio,4,0.5,0.0,NONE,10,10
01_Good,03_Tracking_Error,max_streak_area_ratio,5,0.43,0.14,LOW,10,10
01_Good,03_Tracking_Error,max_streak_aspect_ratio,1,0.14,0.72,LOW,10,10
01_Good,03_Tracking_Error,max_streak_aspect_ratio,2,0.1,0.8,LOW,10,10
01_Good,03_Tracking_Error,max_streak_aspect_ratio,3,0.355,0.29000000000000004,LOW,10,10
01_Good,03_Tracking_Error,max_streak_aspect_ratio,4,0.31,0.38,LOW,10,10
01_Good,03_Tracking_Error,max_streak_aspect_ratio,5,0.4,0.19999999999999996,LOW,10,10
01_Good,03_Tracking_Error,max_streak_length_ratio,1,0.29,0.42000000000000004,LOW,10,10
01_Good,03_Tracking_Error,max_streak_length_ratio,2,0.35,0.30000000000000004,LOW,10,10
01_Good,03_Tracking_Error,max_streak_length_ratio,3,0.41,0.18000000000000005,LOW,10,10
01_Good,03_Tracking_Error,max_streak_length_ratio,4,0.38,0.24,LOW,10,10
01_Good,03_Tracking_Error,max_streak_length_ratio,5,0.45,0.09999999999999998,LOW,10,10
01_Good,03_Tracking_Error,mean_aspect_ratio,1,0.29,0.42000000000000004,LOW,10,10
01_Good,03_Tracking_Error,mean_aspect_ratio,2,0.37,0.26,LOW,10,10
01_Good,03_Tracking_Error,mean_aspect_ratio,3,0.6,0.19999999999999996,HIGH,10,10
01_Good,03_Tracking_Error,mean_aspect_ratio,4,0.35,0.30000000000000004,LOW,10,10
01_Good,03_Tracking_Error,mean_aspect_ratio,5,0.46,0.07999999999999996,LOW,10,10
01_Good,03_Tracking_Error,mean_circularity,1,0.81,0.6200000000000001,HIGH,10,10
01_Good,03_Tracking_Error,mean_circularity,2,0.91,0.8200000000000001,HIGH,10,10
01_Good,03_Tracking_Error,mean_circularity,3,0.7,0.3999999999999999,HIGH,10,10
01_Good,03_Tracking_Error,mean_circularity,4,0.87,0.74,HIGH,10,10
01_Good,03_Tracking_Error,mean_circularity,5,0.64,0.28,HIGH,10,10
01_Good,03_Tracking_Error,mean_fwhm,1,0.36,0.28,LOW,10,10
01_Good,03_Tracking_Error,mean_fwhm,2,0.37,0.26,LOW,10,10
01_Good,03_Tracking_Error,mean_fwhm,3,0.6,0.19999999999999996,HIGH,10,10
01_Good,03_Tracking_Error,mean_fwhm,4,0.66,0.32000000000000006,HIGH,10,10
01_Good,03_Tracking_Error,mean_fwhm,5,0.53,0.06000000000000005,HIGH,10,10
01_Good,03_Tracking_Error,mean_hfr,1,0.53,0.06000000000000005,HIGH,10,10
01_Good,03_Tracking_Error,mean_hfr,2,0.36,0.28,LOW,10,10
01_Good,03_Tracking_Error,mean_hfr,3,0.65,0.30000000000000004,HIGH,10,10
01_Good,03_Tracking_Error,mean_hfr,4,0.67,0.3400000000000001,HIGH,10,10
01_Good,03_Tracking_Error,mean_hfr,5,0.42,0.16000000000000003,LOW,10,10
01_Good,03_Tracking_Error,mean_hollowness,1,0.345,0.31000000000000005,LOW,10,10
01_Good,03_Tracking_Error,mean_hollowness,2,0.55,0.10000000000000009,HIGH,10,10
01_Good,03_Tracking_Error,mean_hollowness,3,0.36,0.28,LOW,10,10
01_Good,03_Tracking_Error,mean_hollowness,4,0.63,0.26,HIGH,10,10
01_Good,03_Tracking_Error,mean_hollowness,5,0.635,0.27,HIGH,10,10
01_Good,03_Tracking_Error,mean_intensity,1,0.73,0.45999999999999996,HIGH,10,10
01_Good,03_Tracking_Error,mean_intensity,2,0.49,0.020000000000000018,LOW,10,10
01_Good,03_Tracking_Error,mean_intensity,3,0.68,0.3600000000000001,HIGH,10,10
01_Good,03_Tracking_Error,mean_intensity,4,0.44,0.12,LOW,10,10
